"condition","nascent_exonic","nascent_intronic"
0,7.89645564658523,3.37169137837715
0,6.93981789917833,3.41831362633954
0,11.2285121104607,3.39208650542028
0.166666666666667,8.01961368375226,3.58681244822992
0.166666666666667,7.43320890141632,3.42248790571935
0.166666666666667,8.29920699417329,2.78253515054682
12,3.06635492610748,1.25322106002764
12,2.504413660781,1.06058601142465
12,3.53687005576322,1.03398335459695
1.5,3.57866788549474,1.5487721334526
1.5,3.13738372498286,1.71794063186009
1.5,3.92878616222732,1.57026571941462
16,3.02261562911345,1.23498258598269
16,2.5742832445325,1.21208071547095
16,2.86674322139538,0.915828383953807
1,3.91402760690077,1.5276525796891
1,4.51788721907777,1.57262609952488
1,4.64935416243998,1.60306262816263
0.333333333333333,4.8773758330313,2.06107954397673
0.333333333333333,4.49285657098373,2.30896467564232
0.333333333333333,6.25774619582669,2.13092647528274
2,3.75345593428959,1.54676693967673
2,4.27938950750255,1.43050914219935
2,3.72580709261197,1.44184708736938
0.5,4.87003512141468,1.73324878395499
0.5,4.76448830206613,1.99736254561258
0.5,4.46014415185899,1.61259436755534
4,3.11148640424048,1.42748515678674
4,3.25914505971699,1.23550173613821
4,3.38723962799386,1.12522192684934
8,2.36037901291082,1.11730596068016
8,3.19274793429209,1.13977536167397
8,2.53497341504244,0.952586529626298
