"condition","total_exonic","total_intronic"
0,16.9173228411734,1.31361691438269
0,18.5834640860519,1.19122775826185
0,18.6745062785314,1.00188132678891
0.166666666666667,19.2252619845989,1.46905708444736
0.166666666666667,19.5757147737614,1.0902696548362
0.166666666666667,16.6701477857631,1.00207850504254
12,7.75219383434557,0.459449952452883
12,6.04806623724132,0.265679590622768
12,6.34585180172471,0.369576633605678
1.5,13.8742595675761,0.834457873689282
1.5,11.7688336899544,0.694125578481486
1.5,12.1102466808093,0.703977893173095
16,7.04198607585618,0.418491893874789
16,5.92416002117496,0.42267621766383
16,6.74535888116565,0.32950194559617
1,12.1987604769619,0.81942485517184
1,14.2199288321002,0.629036888055436
1,13.6184108272037,0.721533855797706
0.333333333333333,18.466982752697,1.10250255934757
0.333333333333333,16.9453638205666,0.941793420159235
0.333333333333333,15.7364194699974,0.993779020767323
2,12.2922912443127,0.730904680663302
2,11.103536183359,0.640588032219016
2,11.0202019927544,0.709809507330503
0.5,17.4584513976809,0.859524754341768
0.5,15.8127622632353,0.939756056022964
0.5,13.2140090217289,1.02673862233833
4,9.55844091901322,0.56194420287862
4,8.13680973759518,0.512241191080537
4,8.55780992719924,0.478273315657194
8,7.27888824298072,0.444982816603456
8,6.90678335215938,0.365781656708323
8,6.28065680299384,0.345512692535928
